title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,11,1,1,0.605351171,0
Other,1,Other,208.0,Other,1,1,1,1,1,1,1,1,1,1,0.89632107,1
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.267558528,1
Other,0,Other,82.0,Other,0,0,0,0,0,1,1,0,0,0,0.183946488,0
Other,0,Other,276.0,Other,0,0,0,1,0,1,1,0,0,0,0.043478261,1
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,5,1,1,1.0,1
Other,1,Other,183.0,Other,0,0,0,0,0,1,1,0,0,1,0.431438127,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,5,1,1,0.678929766,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.006688963,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.02006689,1
Other,1,Other,268.0,Other,1,1,0,0,0,0,0,0,0,0,0.163879599,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.003344482,1
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.003344482,1
Other,0,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.003344482,1
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.003344482,1
